"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.011885090E-1,-4.516726732E-2,2.724552155E-1,-6.384372711E-2,2.834571360E-1
4.059034570E-1,-1.458319664E0,-1.759380579E0,-6.902318001E-1,2.387160699E0
4.106184050E-1,-1.619482517E0,-2.289078951E0,-6.376338005E-1,2.875618704E0
4.153333530E-1,-1.204417944E0,-2.548428535E0,-9.077754021E-1,2.961277894E0
4.200483010E-1,-1.850320458E0,-1.907587528E0,2.397031784E-1,2.668339107E0
4.247632490E-1,-2.011839151E0,-1.102063775E0,6.696233749E-1,2.389652025E0
4.294781970E-1,-1.967954040E0,-5.512622595E-1,1.109722137E0,2.325557224E0
4.341931450E-1,-1.793096304E0,-1.070835590E-1,1.773065567E0,2.523969641E0
4.389080930E-1,-1.423153043E0,2.537822723E-1,2.354402542E0,2.762785072E0
4.436230410E-1,-7.442439198E-1,6.399784088E-1,2.613321304E0,2.791580129E0
4.483379890E-1,1.223800182E-1,9.607927799E-1,2.330863953E0,2.524089222E0
4.530529360E-1,1.012780905E0,1.170020819E0,1.607413292E0,2.231244354E0
4.577678840E-1,1.725954533E0,1.293735266E0,3.905191422E-1,2.192070981E0
4.624828320E-1,2.232587337E0,1.363216877E0,-1.007241726E0,2.803095141E0
4.671977800E-1,2.281077385E0,1.499702930E0,-2.281332493E0,3.557653842E0
4.719127280E-1,1.921841741E0,1.429924488E0,-3.182505608E0,3.983277753E0
4.766276760E-1,1.498692632E0,1.162526131E0,-3.790790081E0,4.238824843E0
4.813426240E-1,1.318696856E0,6.108069420E-1,-4.393668175E0,4.627782033E0
4.860575720E-1,1.192233562E0,2.048251629E-1,-4.399593353E0,4.562871452E0
4.907725200E-1,3.421571255E-1,-2.074806690E-1,-3.512452126E0,3.535171801E0
4.954874680E-1,-7.559449673E-1,-7.431361675E-1,-2.676007748E0,2.878319236E0
5.002024160E-1,-1.877780795E0,-1.386138439E0,-2.378203869E0,3.332160580E0
5.049173640E-1,-2.794051647E0,-1.880777836E0,-2.115114689E0,3.977154765E0
5.096322590E-1,-3.456632614E0,-2.182429552E0,-1.738420963E0,4.442230884E0
5.143472590E-1,-3.684318066E0,-2.383816481E0,-1.419103146E0,4.612009796E0
5.190622070E-1,-3.610068798E0,-2.591422319E0,-1.226913452E0,4.610139150E0
5.237771550E-1,-3.356145620E0,-2.920448780E0,-1.155025482E0,4.596391886E0
5.284921030E-1,-2.982994795E0,-3.295285463E0,-1.352983952E0,4.646259765E0
5.332070510E-1,-2.640314579E0,-3.584226608E0,-1.613319397E0,4.735054480E0
5.379219990E-1,-2.266613722E0,-3.737267733E0,-1.806600571E0,4.729536287E0
5.426369470E-1,-1.927947283E0,-3.847083092E0,-1.932900906E0,4.717322858E0
5.473518950E-1,-1.614594221E0,-4.024016857E0,-2.148812294E0,4.839113601E0
5.520668430E-1,-1.237017155E0,-4.134900570E0,-2.519358158E0,4.997477333E0
5.567817910E-1,-1.080976486E0,-4.270553112E0,-3.004676342E0,5.332374140E0
5.614967390E-1,-1.149483919E0,-4.393110275E0,-3.418170929E0,5.683715657E0
5.662116860E-1,-1.436099887E0,-4.380164146E0,-3.764436722E0,5.951403588E0
5.709266340E-1,-1.772907376E0,-4.291298389E0,-3.986230373E0,6.119515914E0
5.756415820E-1,-2.021930218E0,-4.176357746E0,-4.202260971E0,6.260124847E0
5.803565300E-1,-2.281894922E0,-4.043078899E0,-3.970619917E0,6.108956862E0
5.850714780E-1,-2.536103725E0,-4.241485596E0,-3.351665974E0,5.971238311E0
5.897864260E-1,-2.703871727E0,-4.828089714E0,-2.855498791E0,6.226977272E0
5.945013740E-1,-2.898573637E0,-5.732871056E0,-2.792083263E0,7.004517729E0
5.992163220E-1,-3.258070707E0,-6.646675587E0,-3.164024115E0,8.050116129E0
6.039312700E-1,-3.901875019E0,-7.422677040E0,-3.519218922E0,9.094265497E0
6.086462180E-1,-4.649227619E0,-8.023615837E0,-3.492493868E0,9.909149407E0
6.133611660E-1,-5.136611462E0,-8.479201317E0,-3.218091249E0,1.042294313E1
6.180761140E-1,-5.159229279E0,-8.771334648E0,-3.077754498E0,1.063139365E1
6.227910610E-1,-4.809426785E0,-8.887086868E0,-3.160883904E0,1.058782726E1
6.275060090E-1,-3.981068611E0,-8.890130997E0,-3.531981707E0,1.036138172E1
6.322209570E-1,-2.907679319E0,-8.564646721E0,-3.864483833E0,9.835751510E0
6.369359050E-1,-2.178041458E0,-8.001958847E0,-3.790871382E0,9.118438233E0
